Question_ID,Question
Q1,Summarize the Supreme Court's holding in Torino Enterprises Ltd v Attorney General [2023] regarding the 90 acres of land occupied by the Department of Defence.
Q2,"Under Section 29 of the Law of Succession Act (Cap 160), if a deceased dies intestate leaving a widow and children, what exact interest does the widow acquire in the net intestate estate?"
Q3,"List the specific P&A forms required to file for a grant of letters of administration intestate where the estate value exceeds Kshs 300,000."
Q4,"Based on the Sirikwa Squatters case (SC Petition E036 of 2022), does the President of Kenya have the legal authority to allocate private land to squatters? Cite the reasoning."
Q5,"In Republic v Kenya Revenue Authority ex parte Vipees, what was the court's ruling regarding the Commissioner's power to reclassify goods under the HS Code?"
Q6,Explain the concept of 'House without Land' as established in I.N.K. v P.N.K. and its implication for matrimonial property division.
Q7,Find a Kenyan precedent where the Employment and Labour Relations Court (ELRC) denied a claim for unfair termination specifically because the employee failed to attend the disciplinary hearing.
Q8,Does Article 40(3) of the Constitution protect a title deed obtained fraudulently? Cite the Dina Management principle.
Q9,What is the limitation period for filing a claim in tort against the Government of Kenya under the Public Authorities Limitation Act?
Q10,"If a man dies intestate in Kenya, and his only surviving relative is a step-mother, does she inherit under Part V of the Law of Succession Act?"
